ticker,name,market,sector,industry
005930,삼성전자,KOSPI,Technology,Consumer Electronics
000660,SK하이닉스,KOSPI,Technology,Semiconductors
402340,SK스퀘어,KOSPI,Technology,Semiconductors
005935,삼성전자우,KOSPI,Technology,Consumer Electronics
009150,삼성전기,KOSPI,Technology,Electronic Components
005380,현대차,KOSPI,Consumer Cyclical,Auto Manufacturers
373220,LG에너지솔루션,KOSPI,Industrials,Electrical Equipment & Parts
032830,삼성생명,KOSPI,Financial Services,Insurance - Life
105560,KB금융,KOSPI,Financial Services,Banks - Regional
207940,삼성바이오로직스,KOSPI,Healthcare,Biotechnology
028260,삼성물산,KOSPI,Industrials,Engineering & Construction
000270,기아,KOSPI,Consumer Cyclical,Auto Manufacturers
329180,HD현대중공업,KOSPI,Industrials,Aerospace & Defense
055550,신한지주,KOSPI,Financial Services,Banks - Regional
034020,두산에너빌리티,KOSPI,Industrials,Specialty Industrial Machinery
012450,한화에어로스페이스,KOSPI,Industrials,Aerospace & Defense
034730,SK,KOSPI,Industrials,Conglomerates
012330,현대모비스,KOSPI,Consumer Cyclical,Auto Parts
068270,셀트리온,KOSPI,Healthcare,Biotechnology
086790,하나금융지주,KOSPI,Financial Services,Banks - Regional
006400,삼성SDI,KOSPI,Industrials,Electrical Equipment & Parts
267260,HD현대일렉트릭,KOSPI,Industrials,Electrical Equipment & Parts
010120,LS ELECTRIC,KOSPI,Industrials,Electrical Equipment & Parts
035420,NAVER,KOSPI,Communication Services,Internet Content & Information
066570,LG전자,KOSPI,Technology,Consumer Electronics
000810,삼성화재,KOSPI,Financial Services,Insurance - Property & Casualty
298040,효성중공업,KOSPI,Industrials,Electrical Equipment & Parts
042660,한화오션,KOSPI,Industrials,Aerospace & Defense
005490,POSCO홀딩스,KOSPI,Basic Materials,Steel
009540,HD한국조선해양,KOSPI,Industrials,Aerospace & Defense
006800,미래에셋증권,KOSPI,Financial Services,Capital Markets
015760,한국전력,KOSPI,Utilities,Utilities - Regulated Electric
316140,우리금융지주,KOSPI,Financial Services,Banks - Regional
000150,두산,KOSPI,Industrials,Conglomerates
010130,고려아연,KOSPI,Basic Materials,Other Industrial Metals & Mining
042700,한미반도체,KOSPI,Technology,Semiconductor Equipment & Materials
010140,삼성중공업,KOSPI,Industrials,Aerospace & Defense
064350,현대로템,KOSPI,Industrials,Railroads
138040,메리츠금융지주,KOSPI,Financial Services,Capital Markets
017670,SK텔레콤,KOSPI,Communication Services,Telecom Services
051910,LG화학,KOSPI,Basic Materials,Chemicals
011200,HMM,KOSPI,Industrials,Marine Shipping
033780,KT&G,KOSPI,Consumer Defensive,Tobacco
011070,LG이노텍,KOSPI,Technology,Electronic Components
096770,SK이노베이션,KOSPI,Energy,Oil & Gas Refining & Marketing
024110,기업은행,KOSPI,Financial Services,Banks - Regional
079550,LIG디펜스앤에어로스페이스,KOSPI,Industrials,Aerospace & Defense
267250,HD현대,KOSPI,Energy,Oil & Gas Refining & Marketing
035720,카카오,KOSPI,Communication Services,Internet Content & Information
018260,삼성에스디에스,KOSPI,Technology,Information Technology Services
003550,LG,KOSPI,Technology,Consumer Electronics
010950,S-Oil,KOSPI,Energy,Oil & Gas Refining & Marketing
086280,현대글로비스,KOSPI,Industrials,Integrated Freight & Logistics
047810,한국항공우주,KOSPI,Industrials,Aerospace & Defense
278470,에이피알,KOSPI,Consumer Defensive,Household & Personal Products
030200,KT,KOSPI,Communication Services,Telecom Services
272210,한화시스템,KOSPI,Industrials,Aerospace & Defense
003670,포스코퓨처엠,KOSPI,Industrials,Electrical Equipment & Parts
071050,한국금융지주,KOSPI,Financial Services,Capital Markets
307950,현대오토에버,KOSPI,Technology,Information Technology Services
000720,현대건설,KOSPI,Industrials,Engineering & Construction
005940,NH투자증권,KOSPI,Financial Services,Capital Markets
259960,크래프톤,KOSPI,Communication Services,Electronic Gaming & Multimedia
323410,카카오뱅크,KOSPI,Financial Services,Banks - Regional
006260,LS,KOSPI,Industrials,Electrical Equipment & Parts
005830,DB손해보험,KOSPI,Financial Services,Insurance - Property & Casualty
016360,삼성증권,KOSPI,Financial Services,Capital Markets
003490,대한항공,KOSPI,Industrials,Airlines
0126Z0,삼성에피스홀딩스,KOSPI,Healthcare,Biotechnology
352820,하이브,KOSPI,Communication Services,Entertainment
180640,한진칼,KOSPI,Consumer Cyclical,Lodging
161390,한국타이어앤테크놀로지,KOSPI,Consumer Cyclical,Auto Parts
443060,HD현대마린솔루션,KOSPI,Industrials,Aerospace & Defense
039490,키움증권,KOSPI,Financial Services,Capital Markets
047050,포스코인터내셔널,KOSPI,Industrials,Conglomerates
028050,삼성E&A,KOSPI,Industrials,Engineering & Construction
003230,삼양식품,KOSPI,Consumer Defensive,Packaged Foods
007660,이수페타시스,KOSPI,Technology,Electronic Components
078930,GS,KOSPI,Industrials,Conglomerates
090430,아모레퍼시픽,KOSPI,Consumer Defensive,Household & Personal Products
047040,대우건설,KOSPI,Industrials,Engineering & Construction
005387,현대차2우B,KOSPI,Consumer Cyclical,Auto Manufacturers
064400,LG씨엔에스,KOSPI,Technology,Information Technology Services
000880,한화,KOSPI,Industrials,Conglomerates
326030,SK바이오팜,KOSPI,Healthcare,Biotechnology
021240,코웨이,KOSPI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
032640,LG유플러스,KOSPI,Communication Services,Telecom Services
267270,HD건설기계,KOSPI,Industrials,Farm & Heavy Construction Machinery
